Francisco Fern	78	1.97	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Justin Zobel	74	2.0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
John Bush	6	2.45	3	3	3	3	3	3	3	3	3	2	3	2	2	2	3	3	2	2	2	3	2	2	2	3	2	2	3	3	3	2	2	2	2	2	2	2	2	3	2	2	2	2	2	3	2	3	2	2	2	2	3	3	3	3	2	2	3	2	3	3	2	3	2	2	2	2	3	3	3	3	2	2	3	3	2	2	3	3	2	2	2	2	2	3	3	3	2	3	2	2	3	3	2	3	2	2	3	2	3	2
Juan Carlos Baraza	13	2.52	3	3	3	2	2	3	2	2	2	3	3	3	3	2	2	2	3	3	3	3	2	2	2	3	3	2	3	3	2	2	2	3	2	2	2	2	3	3	2	3	2	3	2	3	2	3	3	3	3	2	2	3	2	2	2	2	2	2	3	3	2	3	3	3	2	3	2	3	3	2	3	2	2	3	3	3	2	2	2	3	3	3	3	2	2	2	2	3	2	2	3	3	3	3	3	3	3	2	3	2
Robert J. Elliott	21	2.11	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	3	3	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2
Ojelanki K. Ngwenyama	28	2.19	2	3	3	3	2	2	2	2	2	3	2	2	2	2	2	2	2	2	3	2	3	2	2	2	2	2	3	2	3	2	2	3	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	3	3	3	2	2	2	2	2	2	3	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Carmela Comito	36	2.04	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	3	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Michael J. Flynn	59	2.0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Walter Cerroni	34	2.12	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	3	2	2	2	3	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	3	2	3	2	2	2	2	2	2	2	2	2	2	3	2	3	2	2	3	2	2	2	2	3	2	2	2	2	2	2	3	2
Anirban Sengupta	25	2.16	2	2	2	2	2	2	2	2	2	2	3	2	2	2	3	2	2	2	3	2	2	2	2	3	2	2	2	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	3	2	3	2	2	2	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	3	2	2	2	2	2
